Year,Month,Day,S5_CO2
2023,4,11,420.85
2023,4,12,420.87
2023,4,13,420.88
2023,4,14,420.89
2023,4,15,420.91
2023,4,16,420.92
2023,4,17,420.93
2023,4,18,420.94
2023,4,19,420.96
2023,4,20,420.97
2023,4,21,420.98
2023,4,22,421
2023,4,23,421.01
2023,4,24,421.02
2023,4,25,421.03
2023,4,26,421.05
2023,4,27,421.06
2023,4,28,421.07
2023,4,29,421.08
2023,4,30,421.1
2023,5,1,421.11
2023,5,2,421.12
2023,5,3,421.13
2023,5,4,421.14
2023,5,5,421.15
2023,5,6,421.16
2023,5,7,421.17
2023,5,8,421.18
2023,5,9,421.19
2023,5,10,421.2
2023,5,11,421.21
2023,5,12,421.21
2023,5,13,421.22
2023,5,14,421.22
2023,5,15,421.22
2023,5,16,421.23
2023,5,17,421.23
2023,5,18,421.23
2023,5,19,421.22
2023,5,20,421.22
2023,5,21,421.22
2023,5,22,421.21
2023,5,23,421.2
2023,5,24,421.19
2023,5,25,421.18
2023,5,26,421.16
2023,5,27,421.15
2023,5,28,421.13
2023,5,29,421.11
2023,5,30,421.09
2023,5,31,421.06
2023,6,1,421.03
2023,6,2,421
2023,6,3,420.97
2023,6,4,420.94
2023,6,5,420.9
2023,6,6,420.86
2023,6,7,420.82
2023,6,8,420.77
2023,6,9,420.73
2023,6,10,420.68
2023,6,11,420.62
2023,6,12,420.57
2023,6,13,420.51
2023,6,14,420.45
2023,6,15,420.39
2023,6,16,420.32
2023,6,17,420.26
2023,6,18,420.18
2023,6,19,420.11
2023,6,20,420.04
2023,6,21,419.96
2023,6,22,419.88
2023,6,23,419.8
2023,6,24,419.72
2023,6,25,419.63
2023,6,26,419.54
2023,6,27,419.45
2023,6,28,419.36
2023,6,29,419.27
2023,6,30,419.18
2023,7,1,419.08
2023,7,2,418.99
2023,7,3,418.89
2023,7,4,418.79
2023,7,5,418.7
2023,7,6,418.6
2023,7,7,418.5
2023,7,8,418.4
2023,7,9,418.3
2023,7,10,418.2
2023,7,11,418.1
2023,7,12,418.01
2023,7,13,417.91
2023,7,14,417.81
2023,7,15,417.71
2023,7,16,417.62
2023,7,17,417.53
2023,7,18,417.43
2023,7,19,417.34
2023,7,20,417.25
2023,7,21,417.16
2023,7,22,417.08
2023,7,23,416.99
2023,7,24,416.91
2023,7,25,416.83
2023,7,26,416.76
2023,7,27,416.68
2023,7,28,416.61
2023,7,29,416.54
2023,7,30,416.47
2023,7,31,416.41
2023,8,1,416.35
2023,8,2,416.29
2023,8,3,416.23
2023,8,4,416.18
2023,8,5,416.13
2023,8,6,416.09
2023,8,7,416.04
2023,8,8,416
2023,8,9,415.97
2023,8,10,415.93
2023,8,11,415.9
2023,8,12,415.88
2023,8,13,415.85
2023,8,14,415.83
2023,8,15,415.82
2023,8,16,415.8
2023,8,17,415.79
2023,8,18,415.79
2023,8,19,415.78
2023,8,20,415.78
2023,8,21,415.78
2023,8,22,415.79
2023,8,23,415.79
2023,8,24,415.8
2023,8,25,415.82
2023,8,26,415.83
2023,8,27,415.85
2023,8,28,415.87
2023,8,29,415.89
2023,8,30,415.92
2023,8,31,415.95
2023,9,1,415.98
2023,9,2,416.01
2023,9,3,416.04
2023,9,4,416.08
2023,9,5,416.12
2023,9,6,416.16
2023,9,7,416.2
2023,9,8,416.24
2023,9,9,416.28
2023,9,10,416.33
2023,9,11,416.38
2023,9,12,416.43
2023,9,13,416.48
2023,9,14,416.53
2023,9,15,416.58
2023,9,16,416.63
2023,9,17,416.68
2023,9,18,416.74
2023,9,19,416.79
2023,9,20,416.85
2023,9,21,416.91
2023,9,22,416.96
2023,9,23,417.02
2023,9,24,417.08
2023,9,25,417.14
2023,9,26,417.2
2023,9,27,417.26
2023,9,28,417.32
2023,9,29,417.38
2023,9,30,417.44
2023,10,1,417.5
2023,10,2,417.56
2023,10,3,417.62
2023,10,4,417.68
2023,10,5,417.74
2023,10,6,417.8
2023,10,7,417.86
2023,10,8,417.92
2023,10,9,417.98
2023,10,10,418.05
2023,10,11,418.11
2023,10,12,418.17
2023,10,13,418.23
2023,10,14,418.29
2023,10,15,418.35
2023,10,16,418.41
2023,10,17,418.47
2023,10,18,418.52
2023,10,19,418.58
2023,10,20,418.64
2023,10,21,418.7
2023,10,22,418.76
2023,10,23,418.82
2023,10,24,418.88
2023,10,25,418.93
2023,10,26,418.99
2023,10,27,419.05
2023,10,28,419.1
2023,10,29,419.16
2023,10,30,419.21
2023,10,31,419.27
2023,11,1,419.32
2023,11,2,419.38
2023,11,3,419.43
2023,11,4,419.49
2023,11,5,419.54
2023,11,6,419.59
2023,11,7,419.64
2023,11,8,419.69
2023,11,9,419.75
2023,11,10,419.8
